surface,bathrooms,bedrooms,price
400,2,3,30000
290,1,2,25000
330,3,3,80000
715,2,2,30000
200,2,4,55000
200,1,2,65000
221,3,6,84000
221,2,3,94000
200,1,1,50000
200,4,3,95000
200,1,2,35000
500,3,3,100000
317,1,3,65000
252,2,3,98000
200,4,3,75000
368,2,3,66999
204,1,4,55000
750,1,1,73500
273,3,3,55000
210,7,6,53000
700,2,3,85000
200,1,1,45000
337,2,2,55000
200,2,2,65000
305,3,3,68000
200,1,2,49800
226,2,3,80000
420,1,2,65000
225,2,4,45000
319,1,2,50000
265,1,4,21000
320,2,4,35000
300,4,10,80000
200,1,5,65000
200,1,1,40000
248,4,4,70000
202,4,3,88000
240,1,2,50000
300,3,2,35000
